"Colony","Distance","Mass","Headwidth","Headwidth..mm.","Size.class"
1,1,109,23,1.895,">43"
1,1,120,21,1.811,"40-43"
1,1,94,20,1.768,"40-43"
1,1,61,10,1.389,"30-34"
1,1,72,18,1.726,"40-43"
1,1,134,24,1.937,">43"
1,1,94,21,1.811,"40-43"
1,1,113,20,1.768,"40-43"
1,1,111,20,1.768,"40-43"
1,1,106,21,1.811,"40-43"
1,1,107,24,1.937,">43"
1,1,96,20,1.768,"40-43"
1,1,53,10,1.389,"30-34"
1,1,121,22,1.853,">43"
1,1,85,22,1.853,">43"
1,1,115,23,1.895,">43"
1,1,109,24,1.937,">43"
1,1,105,16,1.642,"35-39"
1,1,93,16,1.642,"35-39"
1,1,103,20,1.768,"40-43"
1,1,110,22,1.853,">43"
1,1,94,17,1.684,"40-43"
1,4,91,20,1.768,"40-43"
1,4,161,24,1.937,">43"
1,4,44,5,1.179,"<30"
1,4,87,17,1.684,"40-43"
1,4,107,24,1.937,">43"
1,4,107,18,1.726,"40-43"
1,4,86,17,1.684,"40-43"
1,4,91,15,1.6,"35-39"
1,4,156,21,1.811,"40-43"
1,4,95,21,1.811,"40-43"
1,4,95,20,1.768,"40-43"
1,4,98,20,1.768,"40-43"
1,4,72,14,1.558,"35-39"
1,4,76,16,1.642,"35-39"
1,4,154,21,1.811,"40-43"
1,4,34,5,1.179,"<30"
1,4,125,25,1.979,">43"
1,4,51,9,1.347,"30-34"
1,4,83,16,1.642,"35-39"
1,4,36,6,1.221,"<30"
1,4,105,20,1.768,"40-43"
1,4,63,13,1.516,"35-39"
1,4,49,10,1.389,"30-34"
1,4,91,20,1.768,"40-43"
1,4,104,21,1.811,"40-43"
1,4,93,23,1.895,">43"
1,4,84,21,1.811,"40-43"
1,4,95,21,1.811,"40-43"
1,4,80,15,1.6,"35-39"
1,4,74,16,1.642,"35-39"
1,4,96,21,1.811,"40-43"
1,4,149,22,1.853,">43"
1,4,107,22,1.853,">43"
1,4,98,20,1.768,"40-43"
1,4,110,24,1.937,">43"
1,7,115,23,1.895,">43"
1,7,107,18,1.726,"40-43"
1,7,105,20,1.768,"40-43"
1,7,96,21,1.811,"40-43"
1,7,70,14,1.558,"35-39"
1,7,96,20,1.768,"40-43"
1,7,127,21,1.811,"40-43"
1,7,131,23,1.895,">43"
1,7,104,17,1.684,"40-43"
1,7,126,24,1.937,">43"
1,7,83,20,1.768,"40-43"
1,7,108,21,1.811,"40-43"
1,7,99,20,1.768,"40-43"
1,7,92,20,1.768,"40-43"
1,7,103,25,1.979,">43"
1,7,104,20,1.768,"40-43"
1,7,107,20,1.768,"40-43"
1,7,120,23,1.895,">43"
1,7,112,21,1.811,"40-43"
1,7,97,18,1.726,"40-43"
1,7,94,20,1.768,"40-43"
1,7,92,17,1.684,"40-43"
1,10,123,22,1.853,">43"
1,10,72,10,1.389,"30-34"
1,10,92,17,1.684,"40-43"
1,10,75,15,1.6,"35-39"
1,10,110,24,1.937,">43"
1,10,97,21,1.811,"40-43"
1,10,93,18,1.726,"40-43"
1,10,88,21,1.811,"40-43"
1,10,82,20,1.768,"40-43"
1,10,101,21,1.811,"40-43"
1,10,110,18,1.726,"40-43"
1,10,75,14,1.558,"35-39"
1,10,81,17,1.684,"40-43"
1,10,99,21,1.811,"40-43"
1,10,103,21,1.811,"40-43"
1,10,114,24,1.937,">43"
1,10,101,24,1.937,">43"
1,10,77,20,1.768,"40-43"
1,10,125,25,1.979,">43"
1,10,90,16,1.642,"35-39"
2,1,148,23,1.895,">43"
2,1,110,23,1.895,">43"
2,1,110,18,1.726,"40-43"
2,1,97,18,1.726,"40-43"
2,1,136,23,1.895,">43"
2,1,115,21,1.811,"40-43"
2,1,101,20,1.768,"40-43"
2,1,158,25,1.979,">43"
2,1,67,13,1.516,"35-39"
2,1,114,20,1.768,"40-43"
2,1,62,12,1.474,"35-39"
2,1,67,13,1.516,"35-39"
2,1,121,23,1.895,">43"
2,1,47,10,1.389,"30-34"
2,1,82,14,1.558,"35-39"
2,1,79,15,1.6,"35-39"
2,1,119,24,1.937,">43"
2,1,111,18,1.726,"40-43"
2,1,47,9,1.347,"30-34"
2,1,75,16,1.642,"35-39"
2,1,60,12,1.474,"35-39"
2,1,104,23,1.895,">43"
2,4,133,24,1.937,">43"
2,4,134,25,1.979,">43"
2,4,73,22,1.853,">43"
2,4,121,22,1.853,">43"
2,4,73,16,1.642,"35-39"
2,4,86,20,1.768,"40-43"
2,4,63,17,1.684,"40-43"
2,4,84,18,1.726,"40-43"
2,4,129,24,1.937,">43"
2,4,106,23,1.895,">43"
2,4,90,17,1.684,"40-43"
2,4,62,15,1.6,"35-39"
2,4,70,16,1.642,"35-39"
2,4,86,22,1.853,">43"
2,4,99,20,1.768,"40-43"
2,4,50,13,1.516,"35-39"
2,4,133,25,1.979,">43"
2,4,74,21,1.811,"40-43"
